1897.8127 2021.4273 [2, 8, 113, 97, 52, 0]
-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]


-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]


-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]


-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]


-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-64.7206 39.9631 [68, 43, 8, 3, 31, 89]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-335.9655 1189.7855 [185, 65, 15, 23, 144, 176]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-389.729 1246.9915 [185, 199, 42, 24, 0, 153]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-72.6229 29.0054 [12, 36, 144, 3, 1, 61]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]
-87.7502 22.3927 [75, 38, 23, 23, 5, 19]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]
-87.7502 22.3927 [75, 38, 23, 23, 5, 19]
-398.7097 1120.7597 [188, 73, 158, 0, 2, 26]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
-97.5577 45.0377 [76, 30, 50, 3, 7, 96]
-442.031 1160.3735 [189, 134, 25, 3, 199, 7]
-504.4057 1203.3657 [192, 168, 165, 43, 23, 88]
-499.3466 1196.6866 [191, 194, 46, 13, 17, 52]
-14.8141 10.2541 [42, 32, 8, 7, 6, 16]
-373.2154 1111.7454 [188, 57, 62, 101, 6, 18]
-429.2829 1124.3454 [190, 101, 69, 24, 13, 27]
-52.7065 18.8365 [14, 32, 63, 35, 4, 58]
-87.7502 22.3927 [75, 38, 23, 23, 5, 19]
-398.7097 1120.7597 [188, 73, 158, 0, 2, 26]


-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-160.0742 59.2042 [88, 21, 27, 5, 12, 118]
