-9.69403800476 15.7604480606 [21, 66, 50]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
-15.1278570373 1.52973750323 [64, 92, 82]
-14.1396093372 -6.59966092563 [144, 78, 100]
-14.898481116 -2.43040696366 [72, 79, 112]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]
-15.2124585861 2.48785863472 [78, 123, 98]
