
-196.282906326 156.381226008 [45, 58]
39.0790404886 18.4944425101 [69, 81]
181.02153111 6.13728445881 [82, 89]
188.958718498 2.78397775225 [89, 86]
36.5625 19.390625 [79, 72]
8.2125 52.803125 [71, 62]

315.103340059 4.47543281932 [90, 94]
114.158995987 9.16649673199 [83, 78]
108.642183827 15.1459814149 [70, 89]
47.4530191072 20.3311424956 [69, 81]
189.230143766 7.99339760102 [82, 89]
197.158084166 4.64535895595 [89, 86]
44.9394104408 21.2259170784 [79, 72]
12.5325 49.383125 [73, 62]

324.540592392 6.30828652861 [90, 94]
124.153288663 10.9812887245 [83, 78]
118.651769727 16.9377509628 [70, 89]
57.6322282599 22.1029479346 [69, 81]
199.016330769 9.81270630543 [82, 89]
206.922294025 6.47755840902 [89, 86]
55.1255875996 22.9942774214 [79, 72]
22.8085127627 51.0430733656 [73, 62]

323.423440956 7.9294922943 [90, 94]
123.803816854 12.5773534869 [83, 78]
118.323374123 18.5017696379 [70, 89]
57.5375972611 23.6391775719 [69, 81]
198.38006019 11.4150581041 [82, 89]
206.255735864 8.09785348289 [89, 86]
55.0405594895 24.5257116582 [79, 72]
22.8472906997 52.4236035708 [73, 62]

328.659636186 7.98571729017 [90, 94]
129.340317754 12.6285228091 [83, 78]
63.1737883671 23.6783144839 [69, 81]
203.804369372 11.4674917038 [82, 89]
211.668196961 8.15389534523 [89, 86]
28.5356695392 52.4314304548 [73, 62]
31.7025 18.175625 [76, 75]

322.846734218 7.60389095525 [90, 94]
123.956211858 12.2451212607 [83, 78]
198.260068804 11.0844840707 [82, 89]
206.106978925 7.77201195076 [89, 86]
23.3684248965 52.0345245551 [73, 62]
26.5284425483 17.7903414278 [76, 75]
96.84 5.21 [80, 84]

121.550843106 12.1708399612 [83, 78]
204.077868735 7.68506480574 [89, 86]
20.5023542257 52.0729090545 [73, 62]
23.6768450679 17.7317617124 [76, 75]
94.3104363413 5.11579838269 [80, 84]
203.625 0.40625 [87, 91]
8.685 41.67125 [73, 65]

199.790531723 6.26165194805 [89, 86]
19.3945813621 16.3134351569 [76, 75]
90.0261862509 3.69108479247 [80, 84]
199.337675724 -1.02084787499 [87, 91]
4.40315790044 40.2650431963 [73, 65]
142.605 3.15125 [89, 81]

15.6853785638 15.5947232797 [76, 75]
86.1980802047 2.97768053273 [80, 84]
195.325551615 -1.73227079721 [87, 91]
0.719192089827 39.5362598212 [73, 65]
138.688381287 2.43807273734 [89, 81]

20.0605696408 16.3662037794 [76, 75]
90.3972897499 3.73852948019 [80, 84]
199.252407114 -0.975390616052 [87, 91]
5.13173491144 40.3279142796 [73, 65]
142.756588567 3.19846699279 [89, 81]
157.86 2.465 [90, 82]

8.93620962053 15.3268710586 [76, 75]
79.8402602138 2.63484566839 [80, 84]
189.573394442 -2.1030967374 [87, 91]
-6.11303992238 39.4106913136 [73, 65]
132.621885041 2.09203100277 [89, 81]
147.847119409 1.35482623531 [90, 82]

9.55457438634 14.6326095799 [76, 75]
80.3408821164 1.95901636911 [80, 84]
189.891794126 -2.77204529054 [87, 91]
-5.46968445835 38.6814537547 [73, 65]
133.034858078 1.41699001402 [89, 81]
148.234809508 0.680855862964 [90, 82]

5.40100274055 13.8377850368 [76, 75]
76.0879806763 1.18287975146 [80, 84]
185.485167059 -3.54120569188 [87, 91]
-9.60217354469 37.8511678393 [73, 65]
128.708014629 0.641652644691 [89, 81]
143.886636962 -0.0933960351871 [90, 82]

4.39584873366 13.6433030126 [76, 75]
75.0038832529 1.00320486576 [80, 84]
184.278894549 -3.7153530619 [87, 91]
-10.590571962 37.6285884507 [73, 65]
127.565151003 0.462611033166 [89, 81]
142.726821808 -0.271577587521 [90, 82]

8.17526262586 14.040319416 [76, 75]
78.8898265039 1.38684267244 [80, 84]
188.329705679 -3.33670949523 [87, 91]
-6.83376872304 38.0509914816 [73, 65]
131.530395685 0.845676661779 [89, 81]
146.71494155 0.11071095745 [90, 82]

5.67007091783 13.779075549 [76, 75]
76.5476947841 1.11772222733 [80, 84]
186.239930255 -3.60877027274 [87, 91]
-9.37356960267 37.8046938573 [73, 65]
129.309647314 0.576219349857 [89, 81]
144.529207068 -0.159203858359 [90, 82]

0.969269028945 12.7656667832 [76, 75]
71.8802615394 0.109147004486 [80, 84]
181.624139277 -4.61554113043 [87, 91]
-14.0814539226 36.7821131763 [73, 65]
124.667053994 -0.432149151206 [89, 81]
139.893779 -1.16729160747 [90, 82]

2.87695455268 12.2101696678 [76, 75]
73.8437573914 -0.490396594027 [80, 84]
183.674008788 -5.23152731348 [87, 91]
-12.1856140347 36.3101966992 [73, 65]
126.672095565 -1.03357653708 [89, 81]
141.91080473 -1.77127739331 [90, 82]

5.81827727343 12.559872111 [76, 75]
76.5883867546 -0.11550135703 [80, 84]
186.114229892 -4.84722758804 [87, 91]
-9.20254352382 36.6120944226 [73, 65]
129.270304591 -0.657603850463 [89, 81]
144.46677777 -1.39384140615 [90, 82]

13.2055044155 13.169919516 [76, 75]
83.7530561464 0.534988282949 [80, 84]
192.934462551 -4.18164083202 [87, 91]
-1.76807892357 37.1454004496 [73, 65]
136.269299955 -0.00538457021185 [89, 81]
151.417983284 -0.739273075408 [90, 82]

16.9157618276 14.6801117906 [76, 75]
87.3817366955 2.08698542741 [80, 84]
196.436892417 -2.61403789892 [87, 91]
1.95949302208 38.5762656711 [73, 65]
139.83725394 1.54840049192 [89, 81]
154.96842026 0.81694018462 [90, 82]

19.8857425475 14.4547845144 [76, 75]
90.2515846166 1.88048526029 [80, 84]
199.151771958 -2.81350989237 [87, 91]
4.9507267376 38.3152129139 [73, 65]
142.632562088 1.34270552575 [89, 81]
157.742226882 0.612338773986 [90, 82]

26.3017375355 15.3760399216 [76, 75]
96.4102209011 2.84738108097 [80, 84]
204.912112561 -1.82957647179 [87, 91]
11.4213456197 39.1498631118 [73, 65]
148.599618196 2.31155330327 [89, 81]
163.654020328 1.58383753347 [90, 82]

31.2388514152 16.1346420728 [76, 75]
101.481059611 3.58873289796 [80, 84]
210.189907637 -1.09466421724 [87, 91]
16.3300766593 39.9411987265 [73, 65]
153.770002894 3.05216735509 [89, 81]
168.853119773 2.32344961529 [90, 82]

29.2527084604 16.1921535356 [76, 75]
99.7159893608 3.63264962909 [80, 84]
208.766975821 -1.05582240944 [87, 91]
14.2970114444 40.0245069446 [73, 65]
152.169501191 3.09550266445 [89, 81]
167.300089036 2.36599528701 [90, 82]

29.2052741597 17.0325629495 [76, 75]
99.8289976033 4.46860539043 [80, 84]
209.128289527 -0.221529199848 [87, 91]
14.2155235198 40.8733674105 [73, 65]
152.401944332 3.93126795124 [89, 81]
167.566984022 3.20150188744 [90, 82]

32.6249623196 17.2844934148 [76, 75]
103.34391908 4.69882077708 [80, 84]
212.790596806 0.000579931952643 [87, 91]
17.6149985897 41.1665034389 [73, 65]
155.987758363 4.16055462377 [89, 81]
171.173247513 3.42952725934 [90, 82]
6.5925 65.898125 [66, 61]

25.6461593739 16.2736586889 [76, 75]
96.4585766425 3.68737157413 [80, 84]
206.04989652 -1.01109865572 [87, 91]
10.6163588294 40.1568347172 [73, 65]
149.171988784 3.14907914076 [89, 81]
164.377546718 2.418016085 [90, 82]
-0.420706834914 64.8896637634 [66, 61]
11.4525 40.113125 [65, 74]

26.0530776939 15.9643944338 [76, 75]
96.7234400973 3.39754090039 [80, 84]
206.094911807 -1.29367475926 [87, 91]
11.0534280238 39.8106941664 [73, 65]
149.331105295 2.86007960568 [89, 81]
164.506159773 2.13014533184 [90, 82]
0.0385035168458 64.5053350289 [66, 61]
11.8878918343 39.7670519383 [65, 74]

26.5571457113 16.5128735963 [76, 75]
97.2951431898 3.95635192107 [80, 84]
206.771288874 -0.731006848338 [87, 91]
11.5431406254 40.3395680566 [73, 65]
149.953156557 3.419332501 [89, 81]
165.142734322 2.68999834375 [90, 82]
0.51767428421 65.0139061817 [66, 61]
12.3784030596 40.295961709 [65, 74]

28.438905122 17.1080531954 [76, 75]
99.165416365 4.57365834521 [80, 84]
208.623785623 -0.105440464131 [87, 91]
13.4273379677 40.892760781 [73, 65]
151.814879274 4.03758524889 [89, 81]
167.001990598 3.30953630819 [90, 82]
2.40366191052 65.5236183326 [66, 61]
14.2624647743 40.8492312756 [65, 74]

31.1489902788 17.5553097826 [76, 75]
101.895257579 5.01895313204 [80, 84]
211.384201877 0.339121981174 [87, 91]
16.1332299389 41.343739993 [73, 65]
154.559427078 4.48279613312 [89, 81]
169.750780623 3.75463324302 [90, 82]
5.10647463497 65.9784526031 [66, 61]
16.9685900218 41.3002036746 [65, 74]

32.5746058809 17.9357025578 [76, 75]
103.326375403 5.4124594746 [80, 84]
212.823835095 0.737523628075 [87, 91]
17.557677705 41.6992490487 [73, 65]
155.994640806 4.87686331892 [89, 81]
171.187175843 4.14946211847 [90, 82]
6.53006480604 66.3081926915 [66, 61]
18.3931027572 41.6557582711 [65, 74]
52.4925 14.373125 [81, 74]

26.1695813875 16.5705087319 [76, 75]
97.0568830045 4.02515014099 [80, 84]
206.764096039 -0.658041440818 [87, 91]
11.1238867829 40.376020622 [73, 65]
149.826039741 3.48860814558 [89, 81]
165.047677599 2.75992238595 [90, 82]
0.0751493877694 65.0284225991 [66, 61]
11.9609121753 40.3324530417 [65, 74]
46.125630226 13.0016398156 [81, 74]

29.4310983315 18.1284847966 [76, 75]
100.304269777 5.59794200767 [80, 84]
209.989614553 0.92028117564 [87, 91]
14.3884028289 41.9058828829 [73, 65]
153.062907883 5.06203365696 [89, 81]
168.281511568 4.33420845974 [90, 82]
3.34186781074 66.5291708969 [66, 61]
15.2252613746 41.8623667549 [65, 74]
49.3831692728 14.5638306387 [81, 74]

27.9295068024 18.1114686432 [76, 75]
98.6662228808 5.59767657142 [80, 84]
208.140385434 0.926268794386 [87, 91]
12.9157736911 41.8570813173 [73, 65]
151.323282362 5.06248461818 [89, 81]
166.512584972 4.33563237115 [90, 82]
1.89050707338 66.447453141 [66, 61]
13.7510209948 41.8136233613 [65, 74]
47.8431631067 14.551579683 [81, 74]

26.8162018786 17.1580747522 [76, 75]
97.5879039773 4.62736906883 [80, 84]
207.116211895 -0.050352571841 [87, 91]
11.7950430513 40.9357819399 [73, 65]
150.271007373 4.09145375142 [89, 81]
165.467822535 3.36361909262 [90, 82]
0.764323392653 65.5593900516 [66, 61]
12.630703464 40.8922652462 [65, 74]
46.7397073761 13.5933742546 [81, 74]
2.8125 46.953125 [65, 70]
13.14 29.285 [74, 70]

25.1482134455 16.6662777065 [76, 75]
96.2194992571 4.08399888641 [80, 84]
206.211451487 -0.612975044102 [87, 91]
10.0634685463 40.5418477739 [73, 65]
149.125615513 3.54587788046 [89, 81]
164.386760318 2.81504764285 [90, 82]
-1.01394525491 65.2668002744 [66, 61]
10.9026663934 40.4981519768 [65, 74]
45.1560571399 13.0869058256 [81, 74]
1.04290148944 46.5839566584 [65, 70]
11.4141188327 28.8431142354 [74, 70]

26.8520044945 17.0501339317 [76, 75]
97.989026998 4.46512440399 [80, 84]
208.08271521 -0.232868901668 [87, 91]
11.7533071079 40.9308856678 [73, 65]
150.94407825 3.92688661068 [89, 81]
166.219338701 3.1958977624 [90, 82]
0.665647360961 65.6612041768 [66, 61]
12.5932811628 40.8871803875 [65, 74]
46.8783542486 13.4699852266 [81, 74]
2.72439656562 46.9743058595 [65, 70]
13.1052066651 29.2296131758 [74, 70]
56.8125 10.953125 [79, 78]

29.2383250607 18.0046163834 [76, 75]
100.364698345 5.43508288531 [80, 84]
210.44190552 0.742866792893 [87, 91]
14.1418879506 41.8560014971 [73, 65]
153.31182222 4.89750697343 [89, 81]
168.584795963 4.16741703627 [90, 82]
3.05588802743 66.5559086551 [66, 61]
14.9817362613 41.812349962 [65, 74]
49.2616768681 14.4288702564 [81, 74]
5.11432903712 47.8919899781 [65, 70]
15.4935851283 30.1691182863 [74, 70]
59.1943354769 11.9151050615 [79, 78]

32.9375735306 17.8417244357 [76, 75]
103.979560937 5.27254751596 [80, 84]
213.926170117 0.580464534474 [87, 91]
17.8590471622 41.6924329225 [73, 65]
156.863867191 4.73498685427 [89, 81]
172.118720746 4.00491762864 [90, 82]
6.78619991073 66.3916393822 [66, 61]
18.6978990586 41.6487826257 [65, 74]
52.9371691976 14.2660797472 [81, 74]
8.84219874119 47.7282501718 [65, 70]
19.2091406569 30.0058812505 [74, 70]
62.8580434839 11.7523858639 [79, 78]

36.1142603409 18.6331636425 [76, 75]
107.145667799 6.08138313898 [80, 84]
217.075903149 1.39579425245 [87, 91]
21.0379795463 42.4508614672 [73, 65]
160.022098243 5.54456649013 [89, 81]
175.274679964 4.81550771954 [90, 82]
9.9667813217 67.1158828981 [66, 61]
21.8767065164 42.4072715848 [65, 74]
56.1108775624 15.0624678384 [81, 74]
12.0224739619 48.4783248212 [65, 70]
22.3878719779 30.7804846107 [74, 70]
66.0302743796 12.5522530425 [79, 78]

39.7583348839 18.9878337421 [76, 75]
110.764044189 6.44399677639 [80, 84]
220.654508345 1.76137321838 [87, 91]
24.6875084731 42.7904582642 [73, 65]
163.621344693 5.9075198581 [89, 81]
178.868408247 5.17892248069 [90, 82]
13.6203156506 67.4398701541 [66, 61]
25.5259320038 42.7468959682 [65, 74]
59.7477176138 15.4193976936 [81, 74]
15.6752645705 48.814107069 [65, 70]
26.0369125329 31.1274671392 [74, 70]
69.6635257344 12.9107715158 [79, 78]
194.445 2.61125 [93, 83]

38.7207732753 18.1156754071 [76, 75]
109.704959386 5.5589929659 [80, 84]
219.56211363 0.871574182437 [87, 91]
23.6545151217 41.9426749297 [73, 65]
162.546237826 5.02196667016 [89, 81]
177.788679703 4.29262317497 [90, 82]
12.5906769779 66.6173289698 [66, 61]
24.49268451 41.8990680238 [65, 74]
58.7040968392 14.5435851133 [81, 74]
14.6450030033 47.9724922325 [65, 70]
25.0035101512 30.2677403564 [74, 70]
68.6168992879 12.032389985 [79, 78]
193.360549891 1.72232127761 [93, 83]

35.8219469019 17.5692108425 [76, 75]
106.894907267 5.00694495797 [80, 84]
216.889451084 0.317441871028 [87, 91]
20.736846582 41.4068052576 [73, 65]
159.802270076 4.4696798686 [89, 81]
175.063774458 3.74001206418 [90, 82]
9.65917177908 66.0924311075 [66, 61]
21.5760642019 41.3631789614 [65, 74]
55.8302620133 13.9955321861 [81, 74]
11.716066986 47.4393037736 [65, 70]
22.0875286919 29.7266793182 [74, 70]
65.7554616127 11.4832204321 [79, 78]
190.655119141 1.16856725865 [93, 83]
80.0325 7.758125 [78, 83]

39.2604847297 17.8708878951 [76, 75]
110.267368494 5.32389470235 [80, 84]
220.159650275 0.640092922456 [87, 91]
24.1894090424 41.6795015328 [73, 65]
163.125543276 4.78728279802 [89, 81]
178.372859022 4.05850209402 [90, 82]
13.1220331646 66.3351156033 [66, 61]
25.0278464408 41.6359282758 [65, 74]
59.2501980909 14.3015539719 [81, 74]
15.1770160741 47.7046659826 [65, 70]
25.5388354218 30.0135758153 [74, 70]
69.1661702224 11.7922965843 [79, 78]
193.949708416 1.49018354647 [93, 83]
83.4299352331 8.07172997163 [78, 83]

39.7250278792 17.7775667688 [76, 75]
110.684737026 5.22546098506 [80, 84]
220.504010022 0.539750671182 [87, 91]
24.6639649144 41.5958818308 [73, 65]
163.507794591 4.68863042457 [89, 81]
178.744980526 3.95955276037 [90, 82]
13.603941834 66.2615424573 [66, 61]
25.5018452829 41.5522908187 [65, 74]
59.7014607381 14.2067784298 [81, 74]
15.657559481 47.6235013868 [65, 70]
26.0124947797 29.9252025356 [74, 70]
69.6108450268 11.6964985816 [79, 78]
194.311481179 1.3901876862 [93, 83]
83.8651336653 7.97441592959 [78, 83]

39.7674201683 18.4272158954 [76, 75]
110.554136563 5.91199823133 [80, 84]
220.105681033 1.24005827965 [87, 91]
24.7430745854 42.1755337097 [73, 65]
163.248416737 5.37674530812 [89, 81]
178.44845592 4.64981025685 [90, 82]
13.7100147473 66.76870691 [66, 61]
25.5789122844 42.1320708028 [65, 74]
59.6951524597 14.8669213867 [81, 74]
15.7586258776 48.1854393016 [65, 70]
26.0883168683 30.5391521986 [74, 70]
69.5803786496 12.3640187471 [79, 78]
